player_name,shots,goals,passes,total_minutes
hanna erica maria glas,2,0.0,142.0,427
hannah cain,34,2.0,269.0,1785
hannah godfrey,6,0.0,676.0,2162
hannah jayne blundell,18,2.0,1182.0,3528
hannah short,6,0.0,388.0,1350
hans dorfner,1,0.0,75.0,252
hans-jürgen kreische,1,0.0,34.0,128
hansi flick,2,0.0,50.0,160
harald irmscher,1,0.0,24.0,77
haris medunjanin,4,0.0,48.0,184
haris seferović,2,0.0,24.0,130
harold michael ''mike' england,2,0.0,30.0,126
harriet scott,13,0.0,1104.0,3549
harry arter,11,1.0,394.0,1588
harry kane,59,10.0,359.0,2002
harry kewell,7,1.0,118.0,493
havana solaun,2,0.0,49.0,245
hayley emma raso,1,0.0,26.0,163
hayley ladd,27,2.0,1265.0,4658
hayley lauder,1,0.0,63.0,180
heather payne,3,0.0,69.0,396
