player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
4746,43,0,0,0,0,150000,David Yelldell,01-10-1981,Goalkeeper,Goalkeeper,34,0,2015,1. Bundesliga_2015/2016,1,0,0,0,0,20,6,0,0,0,92,0.3,23.42773844,0,0,0,0,0,0,0,0.340750659,-0.111978871
5017,1866,0,0,4,1,3000000,Niklas Moisander,29-09-1985,Defender,Centre-Back,30,0,2015,Serie A_2015/2016,22,0,0,2,0.098550015,863,737,29,19,5,95,0.853997683,23.42773844,0,0,0,0,0,0,0,0.057138917,-0.077396379
5023,4260,0,0,0,0,2000000,Gianluigi Buffon,28-01-1978,Goalkeeper,Goalkeeper,36,0,2014,Champions League_2014/2015,1,0,0,0,0,31,21,0,0,0,96,0.677419355,23.42773844,0,0,0,0,0,0,0,0.304280484,-0.040995967
5023,3990,0,0,1,0,2000000,Gianluigi Buffon,28-01-1978,Goalkeeper,Goalkeeper,37,0,2015,Serie A_2015/2016,35,0,0,0,0,888,721,0,0,0,95,0.811936937,23.42773844,0,0,0,0,0,0,0,0.099927661,0.456882337
5023,3855,0,0,0,0,2000000,Gianluigi Buffon,28-01-1978,Goalkeeper,Goalkeeper,38,0,2016,Champions League_2016/2017,1,0,0,0,0,24,21,0,0,0,93,0.875,23.42773844,0,0,0,0,0,0,0,0.27690018,0.349637083
5072,90,0,0,0,0,400000,Thomas Kessler,20-01-1986,Goalkeeper,Goalkeeper,29,0,2015,1. Bundesliga_2015/2016,1,0,0,0,0,27,16,0,0,1,89,0.592592593,23.42773844,0,0,0,0,0,0,0,-0.294633161,0.081457138
5278,93,0,0,0,0,200000,Alexander Manninger,04-06-1977,Goalkeeper,Goalkeeper,38,0,2015,1. Bundesliga_2015/2016,2,0,0,0,0,36,25,0,0,0,92,0.694444444,23.42773844,0,0,0,0,0,0,0,-0.12147748,0.159635912
5285,3025,1,4,5,0,2000000,Patrice Evra,15-05-1981,Defender,Left-Back,33,0,2014,Champions League_2014/2015,1,0,0,1,0.06086964,28,22,4,0,0,88,0.785714286,23.42773844,0,0,0,0,0,0,0,0.183436447,0.082483895
5285,2779,2,3,7,0,1000000,Patrice Evra,15-05-1981,Defender,Left-Back,34,0,2015,Serie A_2015/2016,26,2,3,17,1.512994832,1324,1093,61,23,7,95,0.825528701,23.42773844,0,0,0,0,0,0,0,0.49894978,0.151380383
5293,2667,2,1,3,0,500000,Sébastien Squillaci,11-08-1980,Defender,Centre-Back,35,0,2015,Ligue 1_2015/2016,30,2,1,11,1.384402761,836,690,46,22,1,95,0.825358852,23.42773844,0,0,0,0,0,0,0,-0.096120168,0.08152633
